               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029787,            0.021268,           0.0025141,             0.91227,             0.72434,             0.79049,             0.47267,            0.027888,             0.01529,           0.0018637,           0.0061574,           0.0061574,           0.0061574
                  36,            0.029738,            0.021253,           0.0025407,             0.91124,             0.72978,             0.80329,             0.48038,            0.027825,            0.015254,           0.0018481,           0.0059704,           0.0059704,           0.0059704
                  37,            0.029518,            0.021112,           0.0025245,             0.90347,             0.73755,             0.80634,             0.48218,            0.027733,            0.015194,           0.0018434,           0.0057826,           0.0057826,           0.0057826
                  38,            0.029389,            0.020819,           0.0024515,             0.90379,             0.74181,             0.79901,             0.47779,            0.027656,            0.015156,           0.0018254,           0.0055942,           0.0055942,           0.0055942
                  39,            0.029386,            0.020903,            0.002477,             0.90085,             0.74204,             0.79658,             0.47675,            0.027559,            0.015123,           0.0018139,           0.0054058,           0.0054058,           0.0054058
                  40,            0.029197,            0.020785,           0.0024639,             0.90394,             0.74108,             0.79497,             0.47716,             0.02748,            0.015094,           0.0018134,           0.0052174,           0.0052174,           0.0052174
                  41,            0.028938,            0.020653,           0.0023928,             0.90627,             0.73909,               0.798,              0.4794,             0.02743,            0.015071,            0.001792,           0.0050296,           0.0050296,           0.0050296
                  42,            0.028835,            0.020687,           0.0023816,             0.90411,             0.74257,             0.80477,             0.48384,            0.027383,            0.015046,           0.0017863,           0.0048426,           0.0048426,           0.0048426
                  43,            0.028673,            0.020494,           0.0023602,             0.90402,             0.74255,              0.8046,             0.48485,            0.027346,            0.015021,           0.0017895,           0.0046568,           0.0046568,           0.0046568
                  44,            0.028684,            0.020421,           0.0023096,             0.89227,             0.75061,             0.80259,             0.48611,             0.02731,            0.014988,           0.0017861,           0.0044724,           0.0044724,           0.0044724
                  45,            0.028425,            0.020161,           0.0023028,             0.89547,             0.74904,             0.80678,              0.4888,            0.027274,            0.014967,            0.001775,           0.0042899,           0.0042899,           0.0042899
                  46,            0.028363,            0.020329,           0.0022959,             0.90733,             0.73994,             0.81079,             0.49135,            0.027238,            0.014943,           0.0017684,           0.0041094,           0.0041094,           0.0041094
                  47,            0.028134,              0.0201,           0.0022528,             0.89813,             0.75128,             0.81123,             0.49237,            0.027194,             0.01492,           0.0017495,           0.0039314,           0.0039314,           0.0039314
                  48,             0.02801,             0.01999,           0.0021815,             0.89855,             0.75164,             0.81738,             0.49574,            0.027163,            0.014901,           0.0017328,           0.0037562,           0.0037562,           0.0037562
                  49,            0.027798,            0.019863,           0.0022557,             0.90371,             0.74813,             0.81748,             0.49657,            0.027133,            0.014881,           0.0017259,            0.003584,            0.003584,            0.003584
                  50,            0.027603,            0.019822,           0.0022304,             0.90984,             0.74343,             0.81746,             0.49606,             0.02711,            0.014868,           0.0017173,           0.0034152,           0.0034152,           0.0034152
                  51,            0.027527,            0.019573,           0.0022016,             0.91536,             0.74055,             0.81834,             0.49647,            0.027076,            0.014852,           0.0017096,             0.00325,             0.00325,             0.00325
                  52,            0.027276,            0.019494,           0.0021274,             0.91403,             0.74069,             0.81897,             0.49675,            0.027043,            0.014837,           0.0017034,           0.0030888,           0.0030888,           0.0030888
                  53,            0.027181,            0.019369,            0.002158,             0.91196,             0.74171,             0.81911,             0.49661,             0.02701,            0.014824,           0.0016986,           0.0029318,           0.0029318,           0.0029318
                  54,            0.027005,            0.019388,           0.0021175,             0.91267,               0.741,             0.82032,             0.49755,            0.026983,             0.01481,            0.001694,           0.0027793,           0.0027793,           0.0027793
                  55,            0.026919,            0.019305,            0.002111,              0.9113,             0.74266,              0.8217,             0.49841,            0.026949,            0.014794,           0.0016887,           0.0026316,           0.0026316,           0.0026316
                  56,            0.026776,            0.019162,           0.0020668,             0.91268,             0.74203,             0.82804,             0.50246,            0.026913,            0.014776,           0.0016839,           0.0024889,           0.0024889,           0.0024889
                  57,            0.026593,            0.019114,           0.0020653,             0.91306,             0.74432,             0.83011,             0.50346,            0.026883,            0.014759,           0.0016791,           0.0023515,           0.0023515,           0.0023515
                  58,            0.026425,             0.01904,           0.0020456,             0.91232,             0.74401,             0.83384,             0.50686,            0.026855,            0.014743,           0.0016742,           0.0022196,           0.0022196,           0.0022196
                  59,            0.026325,            0.018648,           0.0020169,             0.91369,             0.74342,             0.83414,             0.50759,            0.026825,            0.014725,           0.0016706,           0.0020935,           0.0020935,           0.0020935
                  60,            0.026171,            0.018601,           0.0020078,             0.91747,             0.73981,             0.83497,             0.50934,            0.026796,            0.014708,           0.0016668,           0.0019734,           0.0019734,           0.0019734
                  61,            0.026142,            0.018668,           0.0019875,             0.91433,             0.74266,             0.83516,             0.50996,            0.026771,            0.014691,           0.0016633,           0.0018594,           0.0018594,           0.0018594
                  62,            0.025852,            0.018547,           0.0019707,              0.9154,             0.74251,             0.83507,             0.51059,            0.026742,            0.014674,           0.0016604,           0.0017519,           0.0017519,           0.0017519
                  63,            0.025771,            0.018445,           0.0019543,             0.91551,             0.74228,             0.83545,             0.51146,            0.026717,            0.014658,           0.0016569,           0.0016509,           0.0016509,           0.0016509
                  64,            0.025707,            0.018252,           0.0019155,             0.91658,             0.74191,             0.84569,             0.51612,            0.026693,            0.014645,           0.0016532,           0.0015566,           0.0015566,           0.0015566
                  65,            0.025601,            0.018433,           0.0019575,             0.91183,             0.74537,             0.84594,             0.51659,            0.026667,            0.014628,           0.0016499,           0.0014693,           0.0014693,           0.0014693
                  66,            0.025578,            0.018485,           0.0019471,             0.91187,             0.74565,             0.84615,             0.51764,             0.02664,            0.014613,           0.0016465,            0.001389,            0.001389,            0.001389
                  67,            0.025517,             0.01824,            0.001953,             0.91358,             0.74486,             0.84623,             0.51741,            0.026614,            0.014598,           0.0016435,            0.001316,            0.001316,            0.001316
                  68,            0.025218,            0.018065,           0.0019502,             0.91349,             0.74559,             0.84622,             0.51815,             0.02659,            0.014583,           0.0016405,           0.0012503,           0.0012503,           0.0012503
                  69,            0.025184,            0.017949,           0.0018755,             0.90442,             0.75315,             0.84679,             0.51931,            0.026563,            0.014569,           0.0016384,           0.0011921,           0.0011921,           0.0011921
                  70,            0.025103,             0.01795,           0.0018287,             0.91231,             0.74638,             0.84672,             0.52021,            0.026539,            0.014553,           0.0016358,           0.0011414,           0.0011414,           0.0011414
                  71,            0.025075,            0.017876,            0.001868,             0.90456,             0.75284,             0.84691,             0.52095,            0.026514,            0.014537,           0.0016335,           0.0010983,           0.0010983,           0.0010983
                  72,            0.024994,            0.017921,           0.0018642,             0.90626,             0.75375,             0.84731,             0.52163,            0.026487,            0.014523,           0.0016314,            0.001063,            0.001063,            0.001063
                  73,            0.024973,            0.017858,           0.0018673,             0.90739,             0.75311,             0.86066,             0.52895,             0.02646,            0.014505,           0.0016292,           0.0010355,           0.0010355,           0.0010355
                  74,            0.024974,            0.017898,           0.0019193,             0.90818,              0.7535,             0.86111,             0.52993,            0.026435,            0.014489,            0.001627,           0.0010158,           0.0010158,           0.0010158
