               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.020814,           0.0063362,           0.0018732,             0.73245,             0.58198,             0.63711,             0.33187,            0.018067,           0.0040982,           0.0011597,           0.0025087,           0.0025087,           0.0025087
                  35,            0.020684,           0.0063281,           0.0018758,             0.74191,             0.58042,             0.63644,             0.33239,            0.018024,           0.0040927,           0.0011421,           0.0024703,           0.0024703,           0.0024703
                  36,            0.020702,           0.0063293,           0.0018373,              0.7583,             0.58534,               0.645,             0.33509,            0.017988,           0.0040863,           0.0011347,           0.0024312,           0.0024312,           0.0024312
                  37,            0.020605,           0.0062857,           0.0018332,             0.76276,              0.5919,             0.64624,             0.33664,            0.017952,           0.0040793,           0.0011264,           0.0023915,           0.0023915,           0.0023915
                  38,            0.020531,           0.0063208,           0.0018057,             0.75182,             0.58978,             0.64823,             0.33848,            0.017916,           0.0040729,           0.0011179,           0.0023512,           0.0023512,           0.0023512
                  39,             0.02051,           0.0062902,           0.0017953,             0.73941,             0.59446,             0.64929,             0.33955,            0.017896,           0.0040697,           0.0011076,           0.0023103,           0.0023103,           0.0023103
                  40,            0.020457,           0.0062169,            0.001771,             0.77806,             0.58522,             0.65166,             0.34109,             0.01787,           0.0040641,           0.0011032,           0.0022689,           0.0022689,           0.0022689
                  41,            0.020468,           0.0062224,           0.0017837,             0.79459,             0.58119,              0.6538,             0.34261,            0.017847,            0.004059,           0.0010909,           0.0022271,           0.0022271,           0.0022271
                  42,            0.020388,           0.0062975,           0.0017705,             0.80358,             0.57698,             0.65588,             0.34414,             0.01783,           0.0040555,           0.0010821,           0.0021848,           0.0021848,           0.0021848
                  43,            0.020333,           0.0062173,           0.0017456,             0.74437,             0.60299,             0.65646,             0.34521,            0.017806,           0.0040511,           0.0010749,           0.0021422,           0.0021422,           0.0021422
                  44,            0.020404,           0.0061933,           0.0017543,              0.7458,             0.60634,             0.65791,             0.34626,             0.01778,           0.0040477,           0.0010693,           0.0020991,           0.0020991,           0.0020991
                  45,            0.020261,           0.0061939,           0.0017199,             0.69219,             0.64359,             0.65847,             0.34678,            0.017762,           0.0040435,           0.0010623,           0.0020558,           0.0020558,           0.0020558
                  46,             0.02021,           0.0061873,           0.0017107,             0.69774,             0.64264,             0.66032,             0.34785,            0.017738,           0.0040398,           0.0010573,           0.0020123,           0.0020123,           0.0020123
                  47,            0.020234,            0.006206,           0.0017187,             0.70254,             0.64346,             0.66241,             0.34853,            0.017718,           0.0040365,           0.0010516,           0.0019685,           0.0019685,           0.0019685
                  48,            0.020107,           0.0061838,           0.0016798,             0.70865,             0.64258,             0.66367,             0.34949,            0.017699,           0.0040326,           0.0010461,           0.0019245,           0.0019245,           0.0019245
                  49,            0.020104,           0.0061566,           0.0016949,              0.7138,             0.64191,             0.66509,             0.35067,            0.017683,           0.0040296,           0.0010416,           0.0018804,           0.0018804,           0.0018804
                  50,            0.019995,           0.0061735,           0.0016935,              0.7158,             0.64303,             0.66616,             0.35177,            0.017666,           0.0040264,           0.0010374,           0.0018362,           0.0018362,           0.0018362
                  51,            0.020052,           0.0062138,           0.0016663,             0.79917,             0.60003,             0.66699,             0.35263,             0.01765,           0.0040236,           0.0010337,            0.001792,            0.001792,            0.001792
