               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033476,             0.02372,           0.0031588,             0.86842,             0.72506,             0.76226,             0.42602,            0.030073,            0.016522,           0.0022655,           0.0076679,           0.0076679,           0.0076679
                  36,              0.0333,            0.023674,           0.0030969,             0.85889,             0.72738,             0.76212,             0.42705,            0.030008,            0.016498,           0.0022362,            0.007543,            0.007543,            0.007543
                  37,            0.033103,            0.023576,           0.0031273,             0.86351,             0.72329,             0.76166,              0.4276,             0.02991,            0.016463,           0.0022275,            0.007416,            0.007416,            0.007416
                  38,            0.033016,            0.023333,           0.0030392,             0.86886,             0.71728,                0.76,             0.42851,            0.029831,            0.016433,           0.0022146,           0.0072872,           0.0072872,           0.0072872
                  39,            0.033024,            0.023387,           0.0030496,              0.8851,             0.70752,              0.7609,             0.42877,            0.029726,             0.01639,           0.0022085,           0.0071566,           0.0071566,           0.0071566
                  40,            0.032785,            0.023239,           0.0030038,             0.89961,             0.70005,             0.76357,             0.42958,            0.029656,            0.016353,           0.0021962,           0.0070243,           0.0070243,           0.0070243
                  41,            0.032643,            0.023168,           0.0029639,             0.90172,             0.70025,             0.76453,               0.432,            0.029601,            0.016321,            0.002173,           0.0068906,           0.0068906,           0.0068906
                  42,            0.032476,            0.023202,           0.0029418,              0.8851,             0.71346,             0.76508,             0.43429,            0.029541,            0.016287,           0.0021607,           0.0067555,           0.0067555,           0.0067555
                  43,            0.032399,            0.023027,           0.0029603,             0.89146,             0.71199,             0.76641,             0.43565,            0.029479,            0.016258,           0.0021473,           0.0066191,           0.0066191,           0.0066191
                  44,             0.03237,             0.02299,           0.0029147,             0.89112,              0.7111,             0.76606,             0.43556,            0.029433,            0.016233,            0.002137,           0.0064816,           0.0064816,           0.0064816
                  45,            0.032163,            0.022681,            0.002888,             0.88656,             0.71561,             0.76612,             0.43636,            0.029377,            0.016202,            0.002118,           0.0063432,           0.0063432,           0.0063432
                  46,            0.032059,            0.022939,           0.0028383,             0.87954,             0.72264,             0.76653,             0.43854,            0.029323,            0.016181,           0.0021028,            0.006204,            0.006204,            0.006204
                  47,            0.031891,            0.022729,           0.0027869,             0.87989,             0.72234,             0.76881,             0.44013,            0.029273,            0.016159,           0.0020955,            0.006064,            0.006064,            0.006064
                  48,            0.031882,            0.022713,           0.0027704,             0.88612,             0.71663,             0.76979,              0.4407,            0.029227,            0.016135,           0.0020931,           0.0059235,           0.0059235,           0.0059235
                  49,            0.031678,            0.022574,           0.0028165,             0.88251,             0.72126,             0.77065,             0.44122,            0.029185,            0.016109,           0.0020911,           0.0057826,           0.0057826,           0.0057826
                  50,            0.031499,            0.022529,           0.0027783,             0.88288,             0.72218,             0.77045,             0.44195,            0.029143,            0.016087,           0.0020846,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031379,            0.022273,           0.0027733,             0.88244,             0.72193,             0.77061,             0.44322,            0.029097,            0.016064,            0.002081,              0.0055,              0.0055,              0.0055
                  52,            0.031134,            0.022224,           0.0026876,             0.88356,             0.72076,             0.77149,             0.44335,             0.02905,            0.016042,           0.0020753,           0.0053587,           0.0053587,           0.0053587
                  53,            0.031087,            0.022144,           0.0026955,             0.88515,             0.72309,             0.77264,             0.44458,            0.029006,            0.016022,           0.0020675,           0.0052174,           0.0052174,           0.0052174
                  54,             0.03097,            0.022213,           0.0026631,             0.88337,             0.72301,             0.77182,             0.44437,            0.028964,            0.016002,           0.0020553,           0.0050765,           0.0050765,           0.0050765
                  55,            0.030881,            0.022128,            0.002643,             0.88516,             0.72189,             0.77247,             0.44513,            0.028922,            0.015981,           0.0020427,            0.004936,            0.004936,            0.004936
                  56,            0.030785,            0.021997,           0.0026342,             0.88519,             0.72292,             0.77359,             0.44604,            0.028883,            0.015961,           0.0020288,            0.004796,            0.004796,            0.004796
                  57,            0.030587,            0.021987,           0.0026063,             0.88531,             0.72436,             0.77358,             0.44637,            0.028841,            0.015941,           0.0020186,           0.0046568,           0.0046568,           0.0046568
                  58,            0.030434,            0.021934,           0.0025665,             0.88716,             0.72374,             0.77374,             0.44763,            0.028803,            0.015921,           0.0020098,           0.0045184,           0.0045184,           0.0045184
                  59,            0.030257,            0.021471,           0.0025164,             0.89242,              0.7222,             0.77485,             0.44819,            0.028767,            0.015901,           0.0020046,           0.0043809,           0.0043809,           0.0043809
                  60,             0.03015,            0.021481,           0.0025184,             0.89318,             0.72247,             0.77572,             0.44932,            0.028732,            0.015878,           0.0019987,           0.0042445,           0.0042445,           0.0042445
                  61,            0.030133,            0.021549,           0.0025194,             0.88852,             0.72636,             0.77642,             0.45006,            0.028698,            0.015858,           0.0019935,           0.0041094,           0.0041094,           0.0041094
                  62,            0.029812,            0.021397,           0.0024553,             0.89214,             0.72393,             0.77702,             0.44989,            0.028664,            0.015837,           0.0019848,           0.0039757,           0.0039757,           0.0039757
                  63,            0.029754,            0.021348,           0.0024666,              0.8776,             0.73561,             0.77752,             0.45065,             0.02863,            0.015817,           0.0019763,           0.0038434,           0.0038434,           0.0038434
                  64,            0.029661,            0.021132,           0.0023909,              0.8914,             0.72443,             0.77763,              0.4517,            0.028595,            0.015795,           0.0019694,           0.0037128,           0.0037128,           0.0037128
                  65,             0.02949,            0.021284,           0.0024291,             0.89194,              0.7251,             0.77862,             0.45265,            0.028558,            0.015774,           0.0019625,            0.003584,            0.003584,            0.003584
                  66,             0.02947,            0.021402,           0.0024293,             0.89086,             0.72704,             0.77912,             0.45346,            0.028519,            0.015753,           0.0019564,            0.003457,            0.003457,            0.003457
                  67,            0.029354,             0.02106,           0.0024293,             0.89118,             0.72763,             0.77922,             0.45472,            0.028481,            0.015732,           0.0019525,           0.0033321,           0.0033321,           0.0033321
                  68,            0.029058,            0.020931,           0.0023932,             0.89159,             0.72579,             0.77826,             0.45519,            0.028442,            0.015708,           0.0019479,           0.0032093,           0.0032093,           0.0032093
                  69,            0.029015,            0.020783,           0.0023038,              0.8923,             0.72485,             0.77869,             0.45557,            0.028404,            0.015685,           0.0019437,           0.0030888,           0.0030888,           0.0030888
                  70,            0.028873,            0.020705,            0.002273,             0.89377,             0.72475,             0.77952,             0.45728,            0.028368,            0.015662,            0.001937,           0.0029706,           0.0029706,           0.0029706
                  71,            0.028802,            0.020613,           0.0022859,               0.896,             0.72441,             0.77995,             0.45809,            0.028332,            0.015638,           0.0019317,            0.002855,            0.002855,            0.002855
                  72,            0.028606,            0.020623,           0.0022977,             0.89765,             0.72334,             0.78014,              0.4589,            0.028294,            0.015614,           0.0019274,           0.0027419,           0.0027419,           0.0027419
